sim_names,omega 1,omega 2,omega 3,omega 1 prop,omega 2 prop,omega 3 prop,N_mom2,N_mean,NRV,alpha 1,alpha 2,alpha 3,alpha 1 prop,alpha 2 prop,alpha 3 prop,S_mom2,S_mean,SRV,normalizer
CV0d1o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.7705936,0.7953698,1.421194,0.01,0.9721922,0.0178078,0.6569277435,0.8062665902,0.1027411557,0.8123508042
CV0d1o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.7705936,0.7953698,1.421194,0.01,0.9721922,0.0178078,0.6569277435,0.8062665902,0.1027411557,0.8123508042
CV0d1o1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.7705936,0.7953698,1.421194,0.01,0.9721922,0.0178078,0.6569277435,0.8062665902,0.1027411557,0.8123508042
medo1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.4788,1.196,3.301,0.3045,0.5441,0.1514,2.497841191,1.2963096,0.6974524215,1.645062737
lowerCVo1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,1,3,8,0.1,0.7,0.2,19.2,3.8,0.5741427429,4.15
higherCVo1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.4885855,1.181344,3.740057,0.4657544,0.4458628,0.0883828,1.96971824,1.0848349,0.8207904077,1.616183794
noSynCVo1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,1,1,1,0.4657544,0.4458628,0.0883828,1,1,0,1
CV1o1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.5800851,0.5832714,3.515658,0.1428172,0.6548646,0.2023182,2.771469203,1.17609152,1.001837059,1.4503457
CV5o1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.03389623,0.05499577,7.770528,0.5135488,0.4674898,0.0189614,1.146914275,0.1904574194,5.533358493,2.042793338
CV10o1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.05520995,0.163618,54.45345,0.5310638,0.4648596,0.0040766,12.10190896,0.3273643381,10.57947411,13.7299009
CV1d1o1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.2701254,0.6548744,3.789403,0.2712465,0.6440053,0.0847482,1.512928806,0.8161582371,1.127508396,1.363710807
CV1d5o1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.1282298,0.3992263,3.75356,0.235695,0.7122587,0.0520463,0.8506878533,0.509934438,1.507136187,1.073045939
CV1d7o1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.1103081,0.2043798,2.600169,0.3678632,0.6029359,0.0292009,0.2270851581,0.2397334843,1.717911904,0.7711145685
CV1d9o1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.0466247,0.2353572,5.877553,0.1659553,0.6962554,0.1377893,4.798946522,0.9814702511,1.995460165,1.633410594
CV2o1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.05790039,0.1630841,2.866718,0.3491921,0.5349444,0.1158635,0.9675728545,0.4396072658,2.001681161,0.9446416401
CV2d5o1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.05747772,0.1916491,5.707965,0.1082528,0.879529,0.0122182,0.4307417041,0.2445241234,2.490782332,0.7697407074
CV3o1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.1139564,0.1143433,4.471696,0.6713783,0.2955648,0.0330569,0.6735908141,0.2581241162,3.018230747,1.122778854
CV4o1d1,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.2659865,0.8196749,35.55689,0.6814338,0.3136469,0.0049193,6.478373353,0.6132556918,4.02814284,8.037626743
lowerCVo1d5,0.01729,0.4031,1.5,0.8341,0.13612,0.02978,0.08937243499,0.113961561,2.425192485,1,3,8,0.1,0.7,0.2,19.2,3.8,0.5741427429,4.15
noSynCVo1d5,0.01729,0.4031,1.5,0.8341,0.13612,0.02978,0.08937243499,0.113961561,2.425192485,1,1,1,0.4657544,0.4458628,0.0883828,1,1,0,1
CV1o1d5,0.01729,0.4031,1.5,0.8341,0.13612,0.02978,0.08937243499,0.113961561,2.425192485,0.5800851,0.5832714,3.515658,0.1428172,0.6548646,0.2023182,2.771469203,1.17609152,1.001837059,1.4503457
CV5o1d5,0.01729,0.4031,1.5,0.8341,0.13612,0.02978,0.08937243499,0.113961561,2.425192485,0.03389623,0.05499577,7.770528,0.5135488,0.4674898,0.0189614,1.146914275,0.1904574194,5.533358493,2.042793338
CV10o1d5,0.01729,0.4031,1.5,0.8341,0.13612,0.02978,0.08937243499,0.113961561,2.425192485,0.05520995,0.163618,54.45345,0.5310638,0.4648596,0.0040766,12.10190896,0.3273643381,10.57947411,13.7299009
CV3o1d5,0.01729,0.4031,1.5,0.8341,0.13612,0.02978,0.08937243499,0.113961561,2.425192485,0.1139564,0.1143433,4.471696,0.6713783,0.2955648,0.0330569,0.6735908141,0.2581241162,3.018230747,1.122778854
fill_1d5,0.01729,0.4031,1.5,0.8341,0.13612,0.02978,0.08937243499,0.113961561,2.425192485,0.5477452,1.343889,2.340828,0.04944687,0.7427416,0.20781153,2.494952811,1.5116976,0.3029411649,1.548311428
CV0d1o1d5,0.01729,0.4031,1.5,0.8341,0.13612,0.02978,0.08937243499,0.113961561,2.425192485,0.7705936,0.7953698,1.421194,0.01,0.9721922,0.0178078,0.6569277435,0.8062665902,0.1027411557,0.8123508042
fill_Q,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.03772726,1,1.279818,0.01752449,0.011,0.97147551,1.602237821,1.254972995,0.131611124,1.255026936
fill_R,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.3750284,2.110615,2.805204,0.03191756,0.5899115,0.37817094,5.608256516,2.317892686,0.2094218442,2.330970779
fill_S,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.5477452,1.343889,2.340828,0.04944687,0.7427416,0.20781153,2.494952811,1.5116976,0.3029411649,1.548311428
fill_T,0.01729,0.4031,1.1,0.8341,0.13612,0.02978,0.05840123499,0.102049561,2.146600428,0.7617073,1.312518,2.64968,0.2851928,0.6136095,0.1011977,1.933024756,1.290748473,0.4003210504,1.524747827
add_A,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.00005520995,0.00163618,60.45345,0.5310638,0.4648596,0.0040766,14.89842358,0.2472344483,15.5800353,15.17098011
add_B,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.00005520995,0.00163618,60.45345,0.5310638,0.4648596,0.0040766,14.89842358,0.2472344483,15.5800353,15.17098011
